hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,651776849,-38242380.0,-6.0,-4.18
asels,14683427038,-21177338.0,-0.0,-0.19
reedr,1110440394,-40678111.0,-4.0,-0.44
miatk,1489357869,-125268684.0,-8.0,-2.68
sdttr,242868555,6251226.0,3.0,4.49
ingrm,116064130,-2796871.0,-2.0,-8.92
atatp,242845270,-32206414.0,-13.0,-10.55
alctl,254656871,5263507.0,2.0,2.17
karel,166718543,-15050126.0,-9.0,-0.75
aztek,177146979,-9150916.0,-5.0,-2.06
httbt,132604807,-12233709.0,-9.0,-3.78
logo,796531525,-107952414.0,-14.000000000000002,-19.45
ardyz,337308661,-8934483.0,-3.0,-0.73
indes,147170046,-5587165.0,-4.0,-0.26
mobtl,656870072,-19641934.0,-3.0,-0.21
penta,182088339,-10607036.0,-6.0,-0.78
netas,136053125,-6162595.0,-5.0,-2.27
arena,432975732,-36527506.0,-8.0,-2.98
escom,297213648,-11125138.0,-4.0,-0.11
papil,1970120716,-408627.0,-0.0,-0.01
forte,237977505,-2136465.0,-1.0,-0.6
link,230756648,-26710129.0,-12.0,-61.14
vbtyz,222720043,10989754.0,5.0,0.95
fonet,444485209,-3611359.0,-1.0,-0.11
mtrks,159952329,3817934.0,2.0,0.46
edata,111434060,-8281717.0,-7.000000000000001,-0.32
kfein,134637373,7136248.0,5.0,5.11
pkart,261782765,-828908.0,-0.0,-0.23
obase,341465920,-47616868.0,-14.000000000000002,-4.74
kront,74866369,-8832269.0,-12.0,-2.04
smart,107757630,-19719638.0,-18.0,-4.54
dgate,275459800,13630518.0,5.0,3.51
despc,151390487,6308662.0,4.0,2.2
manas,174496710,-9596044.0,-5.0,-0.32
odine,830199384,-25450590.0,-3.0,-2.41
patek,3342655932,144618792.0,4.0,3.41
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,392075905,-17317709.0,-4.0,-2.76
ekgyo,13597100577,902258493.0,7.000000000000001,0.92
zrgyo,464253945,2947279.0,1.0,0.16
srvgy,525011534,-58420045.0,-11.0,-0.28
rygyo,464799026,23721774.0,5.0,0.67
isgyo,420453691,3681895.0,1.0,0.13
basgz,209858776,-17450137.0,-8.0,-2.86
aksgy,144633539,-20328352.0,-14.000000000000002,-0.87
ozkgy,308499355,-33295398.0,-11.0,-1.1
dggyo,45998324,-3213066.0,-7.000000000000001,-2.27
psgyo,833332228,28939200.0,3.0,0.06
yggyo,134711986,23378563.0,17.0,13.79
akmgy,36209191,-3082115.0,-9.0,-16.46
asgyo,165979880,5142307.0,3.0,0.33
hlgyo,481709891,-794230.0,-0.0,-0.0
adgyo,190603287,10955236.0,6.0,1.61
akfgy,430976095,4335087.0,1.0,0.02
tsgyo,134963757,3791039.0,3.0,0.18
surgy,359005660,-1916057.0,-1.0,-0.25
klgyo,654231987,131149795.0,20.0,0.94
algyo,185564892,-7891789.0,-4.0,-0.79
kzbgy,945281097,-4550403.0,-0.0,-0.05
sngyo,430253350,-42879311.0,-10.0,-0.35
vkgyo,246390697,-12235088.0,-5.0,-0.1
pekgy,670883157,-67135291.0,-10.0,-0.14
fzlgy,591064869,-145736080.0,-25.0,-8.73
begyo,1686420076,-199551015.0,-12.0,-1.2
segyo,489044023,7946936.0,2.0,0.07
pehol,7242120399,666845545.0,9.0,1.39
nugyo,298162539,22701858.0,8.0,0.57
agyo,72995876,-1298240.0,-2.0,-0.11
dzgyo,120422274,-10251718.0,-9.0,-0.5
msgyo,83342817,-1120753.0,-1.0,-0.05
mrgyo,1644033424,99972980.0,6.0,0.12
krgyo,884165490,-79518431.0,-9.0,-1.2
ozgyo,105350250,-3584689.0,-3.0,-0.18
kgyo,150814607,7900113.0,5.0,0.19
ygyo,819825104,1249745.0,0.0,0.01
avgyo,31365528,-1691582.0,-5.0,-0.47
tdgyo,168188356,19000795.0,11.0,1.63
atagy,53433058,-6411907.0,-12.0,-1.41
idgyo,74938764,6600621.0,9.0,0.27
mhrgy,79595526,6998684.0,9.0,0.43
avpgy,256075965,10211661.0,4.0,2.12
vrgyo,144978469,-6614351.0,-5.0,-0.11
kzgyo,158704261,-13560656.0,-9.0,-1.79
eygyo,106965078,-2256237.0,-2.0,-0.05
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,10287184342,-290567706.0,-3.0,-3.08
isctr,16228585451,-712522759.0,-4.0,-0.48
halkb,3286797262,-20272131.0,-1.0,-0.13
vakbn,2545901311,15775305.0,1.0,0.14
akbnk,23641278549,652854295.0,3.0,1.43
skbnk,529484908,-40110863.0,-8.0,-0.36
albrk,552048370,30508558.0,6.0,0.37
ykbnk,26448165727,-5739840781.0,-22.0,-5.59
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,411600857,-64512593.0,-16.0,-2.64
a1cap,998361884,-18004927.0,-2.0,-0.12
adgyo,190603287,10955236.0,6.0,1.61
agrot,398722627,-27716602.0,-7.000000000000001,-0.54
ahgaz,361322772,1628333.0,0.0,0.11
akfye,277229328,-28288325.0,-10.0,-1.61
alfas,847403889,-48816443.0,-6.0,-2.69
asgyo,165979880,5142307.0,3.0,0.33
atakp,123865609,-16342319.0,-13.0,-5.53
astor,3319305693,-107684395.0,-3.0,-3.04
aztek,177146979,-9150916.0,-5.0,-2.06
barma,172925933,-9007180.0,-5.0,-0.94
begyo,1686420076,-199551015.0,-12.0,-1.2
bieny,782633987,-40251675.0,-5.0,-2.16
bigch,683607176,61955091.0,9.0,2.9
binho,4938229328,-705922726.0,-14.000000000000002,-31.77
bmstl,917982729,-13843849.0,-2.0,-0.87
borls,565159138,21352998.0,4.0,3.88
brkvy,313176712,-15042736.0,-5.0,-3.17
bvsan,232752059,-20333627.0,-9.0,-8.05
bydnr,114645274,9009669.0,8.0,1.63
cates,134606068,-20702241.0,-15.0,-4.52
conse,138689967,-13429953.0,-10.0,-0.28
cvkmd,915199511,-16151649.0,-2.0,-0.21
cwene,458838865,15382193.0,3.0,0.51
dapgm,1228331129,-77742336.0,-6.0,-0.57
dmrgd,473483496,-7458713.0,-2.0,-0.38
dofer,229007533,-29951086.0,-13.0,-4.15
ebebk,151644144,15626976.0,10.0,4.35
ekos,733996729,-40809338.0,-6.0,-1.29
eksun,105794293,-9135261.0,-9.0,-0.47
enery,1664719137,-9946561.0,-1.0,-0.03
ensri,175216369,-7496570.0,-4.0,-0.81
eupwr,535216874,-30766170.0,-6.0,-1.59
euren,3391940926,369580103.0,11.0,0.65
eygyo,106965078,-2256237.0,-2.0,-0.05
forte,237977505,-2136465.0,-1.0,-0.6
fzlgy,591064869,-145736080.0,-25.0,-8.73
gipta,1329705746,-128760731.0,-10.0,-8.28
goknr,438574320,-9415220.0,-2.0,-0.53
grsel,976821928,-48609339.0,-5.0,-13.62
gznmi,1824266226,-76427251.0,-4.0,-8.16
hatsn,373640614,5356366.0,1.0,0.57
hktm,159937228,1006430.0,1.0,0.07
httbt,132604807,-12233709.0,-9.0,-3.78
imasm,1915191785,-63081051.0,-3.0,-0.11
inves,154709517,-4379038.0,-3.0,-6.3
izenr,944969708,26497056.0,3.0,0.18
kayse,490353156,32706146.0,7.000000000000001,1.33
kcaer,778849327,-15716944.0,-2.0,-0.27
klrho,1141279266,-33041.0,-0.0,-0.0
klser,164352742,-7889780.0,-5.0,-1.37
klsyn,109065277,475191.0,0.0,0.02
kmpur,106112819,-2668088.0,-3.0,-0.36
kopol,281058637,-9182896.0,-3.0,-0.17
krpls,61442024,-3115223.0,-5.0,-0.34
ktlev,3462987539,30402822.0,1.0,0.86
kzgyo,158704261,-13560656.0,-9.0,-1.79
lider,802812893,-104289505.0,-13.0,-30.01
macko,231723947,13154219.0,6.0,2.29
makim,305303929,3242909.0,1.0,0.19
marbl,333389770,-28656983.0,-9.0,-1.32
mekag,95017939,-11300622.0,-12.0,-4.8
mhrgy,79595526,6998684.0,9.0,0.43
obase,341465920,-47616868.0,-14.000000000000002,-4.74
ofsym,372529597,-17774027.0,-5.0,-1.95
oncsm,128346272,-2244811.0,-2.0,-1.52
ozsub,360951180,-8077972.0,-2.0,-0.56
paseu,2700508568,138233819.0,5.0,3.82
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,411600857,-64512593.0,-16.0,-2.64
a1cap,998361884,-18004927.0,-2.0,-0.12
adgyo,190603287,10955236.0,6.0,1.61
agrot,398722627,-27716602.0,-7.000000000000001,-0.54
ahgaz,361322772,1628333.0,0.0,0.11
akfye,277229328,-28288325.0,-10.0,-1.61
alfas,847403889,-48816443.0,-6.0,-2.69
asgyo,165979880,5142307.0,3.0,0.33
atakp,123865609,-16342319.0,-13.0,-5.53
astor,3319305693,-107684395.0,-3.0,-3.04
aztek,177146979,-9150916.0,-5.0,-2.06
barma,172925933,-9007180.0,-5.0,-0.94
begyo,1686420076,-199551015.0,-12.0,-1.2
bieny,782633987,-40251675.0,-5.0,-2.16
bigch,683607176,61955091.0,9.0,2.9
binho,4938229328,-705922726.0,-14.000000000000002,-31.77
bmstl,917982729,-13843849.0,-2.0,-0.87
borls,565159138,21352998.0,4.0,3.88
brkvy,313176712,-15042736.0,-5.0,-3.17
bvsan,232752059,-20333627.0,-9.0,-8.05
bydnr,114645274,9009669.0,8.0,1.63
cates,134606068,-20702241.0,-15.0,-4.52
conse,138689967,-13429953.0,-10.0,-0.28
cvkmd,915199511,-16151649.0,-2.0,-0.21
cwene,458838865,15382193.0,3.0,0.51
dapgm,1228331129,-77742336.0,-6.0,-0.57
dmrgd,473483496,-7458713.0,-2.0,-0.38
dofer,229007533,-29951086.0,-13.0,-4.15
ebebk,151644144,15626976.0,10.0,4.35
ekos,733996729,-40809338.0,-6.0,-1.29
eksun,105794293,-9135261.0,-9.0,-0.47
enery,1664719137,-9946561.0,-1.0,-0.03
ensri,175216369,-7496570.0,-4.0,-0.81
eupwr,535216874,-30766170.0,-6.0,-1.59
euren,3391940926,369580103.0,11.0,0.65
eygyo,106965078,-2256237.0,-2.0,-0.05
