tekno,27242288657.4,1566338935.1,5.7,18,17
gyo,30164581847.5,2436590097.4,8.1,30,16
banka,73476126231.9,5882703994.0,8.0,2,3
bist30,138282275405.8,11543422513.9,8.3,18,2
harz,45291827845.5,619706194.0,1.4,62,33
bist500,290586213407.6,15596962539.2,5.4,239,157
enerji,10951246806.8,482376975.1,4.4,24,8
bist100,192691792739.7,13100866272.7,6.8,68,18
fonlar,7781890835.6,574728965.9,7.4,4,7
fin_sigorta,6382330100.2,-310319890.2,-4.9,5,6
cim_ins,11942042971.8,149325649.6,1.3,12,11
bist_100_disi,135312114225.3,3359342378.8,2.5,184,146
